Mean data for UKR  Province= 16: Mykolayiv,  from 2016 to 2016<br>The data below were extracted from weekly files like: ../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.046,258.60, 26.34, 57.86, 42.10
2016 02  0.042,255.47, 26.54, 65.87, 46.20
2016 03  0.039,253.77, 25.89, 67.12, 46.50
2016 04  0.040,254.07, 26.31, 64.39, 45.35
2016 05  0.040,256.32, 26.59, 59.24, 42.92
2016 06  0.044,260.66, 27.65, 51.64, 39.65
2016 07  0.054,266.09, 30.93, 42.44, 36.68
2016 08  0.068,271.70, 35.89, 32.94, 34.41
2016 09  0.084,276.47, 40.57, 26.93, 33.75
2016 10  0.100,280.71, 42.84, 22.28, 32.56
2016 11  0.120,284.11, 46.18, 16.40, 31.29
2016 12  0.140,286.90, 49.42, 14.55, 31.99
2016 13  0.167,289.96, 54.54, 11.98, 33.26
2016 14  0.198,292.28, 60.36, 10.62, 35.49
2016 15  0.228,293.39, 63.61, 14.71, 39.16
2016 16  0.262,294.78, 66.03, 20.84, 43.43
2016 17  0.292,295.70, 67.12, 33.72, 50.42
2016 18  0.316,295.53, 66.83, 53.75, 60.29
2016 19  0.334,295.55, 64.50, 70.44, 67.47
2016 20  0.346,295.66, 61.07, 79.55, 70.31
2016 21  0.357,295.81, 60.90, 83.53, 72.22
2016 22  0.366,296.23, 62.53, 83.42, 72.98
2016 23  0.374,296.88, 67.43, 80.26, 73.85
2016 24  0.380,297.78, 72.55, 76.61, 74.58
2016 25  0.385,298.87, 76.59, 72.42, 74.51
2016 26  0.387,299.78, 79.12, 68.40, 73.76
2016 27  0.387,300.78, 80.28, 63.11, 71.70
2016 28  0.379,301.65, 77.84, 57.26, 67.55
2016 29  0.370,302.39, 75.98, 51.90, 63.94
2016 30  0.354,303.02, 73.21, 45.70, 59.46
2016 31  0.336,303.38, 71.40, 40.22, 55.81
2016 32  0.314,303.32, 69.41, 37.47, 53.44
2016 33  0.292,303.12, 65.93, 36.21, 51.07
2016 34  0.273,302.86, 62.18, 34.31, 48.25
2016 35  0.252,302.25, 57.20, 30.46, 43.83
2016 36  0.231,301.41, 50.94, 21.39, 36.16
2016 37  0.210,300.03, 44.36, 16.51, 30.43
2016 38  0.189,298.03, 38.68, 18.82, 28.75
2016 39  0.168,294.76, 32.21, 32.89, 32.55
2016 40  0.148,291.01, 27.81, 49.36, 38.59
2016 41  0.134,287.53, 26.76, 58.43, 42.60
2016 42  0.122,284.28, 27.33, 58.93, 43.13
2016 43  0.109,281.42, 26.73, 54.24, 40.49
2016 44  0.097,278.79, 25.42, 48.09, 36.76
2016 45  0.084,275.58, 23.21, 50.67, 36.94
2016 46  0.077,272.62, 23.10, 53.50, 38.30
2016 47  0.071,269.69, 23.15, 57.02, 40.08
2016 48  0.067,267.54, 24.76, 56.70, 40.73
2016 49  0.064,266.10, 26.71, 51.72, 39.21
2016 50  0.061,264.48, 27.82, 48.90, 38.36
2016 51  0.056,262.28, 28.75, 50.69, 39.72
2016 52  0.051,260.52, 27.09, 52.16, 39.62
</pre></tt>
